launch_service_provider,mission,name,net,pad,rocket,status
Northrop Grumman Space Systems,Cygnus CRS NG-10 (S.S. John Young),Antares 230 | Cygnus CRS NG-10 (S.S. John Young),11/17/2018 9:01 a.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS NG-11 (S.S. Roger Chaffee),Antares 230 | Cygnus CRS NG-11 (S.S. Roger Chaffee),04/17/2019 8:46 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230,Launch Successful
Northrop Grumman Space Systems,Ionospheric Connection Explorer (ICON),Pegasus XL | Ionospheric Connection Explorer (ICON),10/11/2019 2 a.m.,Cape Canaveral | Air launch to orbit,Pegasus XL,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-12 (S.S. Alan Bean),Antares 230+ | Cygnus CRS-2 NG-12 (S.S. Alan Bean),11/02/2019 1:59 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-13 (S.S. Robert H. Lawrence.),Antares 230+ | Cygnus CRS-2 NG-13 (S.S. Robert H. Lawrence.),02/15/2020 8:21 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,NROL-129,Minotaur IV | NROL-129,07/15/2020 1:46 p.m.,"Launch Area 0 B | Wallops Island, Virginia, USA",Minotaur IV,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-14 (S.S. Kalpana Chawla),Antares 230+ | Cygnus CRS-2 NG-14 (S.S. Kalpana Chawla),10/03/2020 1:16 a.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-15 (S.S. Katherine Johnson),Antares 230+ | Cygnus CRS-2 NG-15 (S.S. Katherine Johnson),02/20/2021 5:36 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,Odyssey (TacRL-2),Pegasus XL | Odyssey (TacRL-2),06/13/2021 8:11 a.m.,Vandenberg Space Force Base | Air launch to orbit,Pegasus XL,Launch Successful
Northrop Grumman Space Systems,NROL-111,Minotaur I | NROL-111,06/15/2021 1:35 p.m.,"Launch Area 0 B | Wallops Island, Virginia, USA",Minotaur I,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-16 (S.S. Ellison Onizuka),Antares 230+ | Cygnus CRS-2 NG-16 (S.S. Ellison Onizuka),08/10/2021 10:01 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-17 (S.S. Piers Sellers),Antares 230+ | Cygnus CRS-2 NG-17 (S.S. Piers Sellers),02/19/2022 5:40 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-18 (S.S. Sally Ride),Antares 230+ | Cygnus CRS-2 NG-18 (S.S. Sally Ride),11/07/2022 10:32 a.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-19 (S.S. Laurel Clark),Antares 230+ | Cygnus CRS-2 NG-19 (S.S. Laurel Clark),08/02/2023 12:31 a.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-23,Antares 330 | Cygnus CRS-2 NG-23,04/30/2025 midnight,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 330,To Be Determined
Northrop Grumman Space Systems,Cygnus CRS-2 NG-24,Antares 330 | Cygnus CRS-2 NG-24,12/31/2025 midnight,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 330,To Be Determined
Northrop Grumman Space Systems,Cygnus CRS-2 NG-25,Antares 330 | Cygnus CRS-2 NG-25,02/28/2026 midnight,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 330,To Be Determined
