launch_service_provider,mission,name,net,pad,rocket,status
SpaceX,FalconSAT-2,Falcon 1 | FalconSAT-2,03/24/2006 10:30 p.m.,"Omelek Island | Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Falcon 1,Launch Failure
SpaceX,DemoSat,Falcon 1 | DemoSat,03/21/2007 1:10 a.m.,"Omelek Island | Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Falcon 1,Launch Failure
SpaceX,Flight 3,Falcon 1 | Flight 3,08/03/2008 3:34 a.m.,"Omelek Island | Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Falcon 1,Launch Failure
SpaceX,RatSat,Falcon 1 | RatSat,09/28/2008 11:15 p.m.,"Omelek Island | Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Falcon 1,Launch Successful
SpaceX,RazakSAT,Falcon 1 | RazakSAT,07/14/2009 3:35 a.m.,"Omelek Island | Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Falcon 1,Launch Successful
SpaceX,Dragon Spacecraft Qualification Unit (DSQU),Falcon 9 v1.0 | Dragon Spacecraft Qualification Unit (DSQU),06/04/2010 6:45 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpaceX COTS Demo Flight 1,Falcon 9 v1.0 | SpaceX COTS Demo Flight 1,12/08/2010 3:43 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpaceX COTS Demo Flight 2,Falcon 9 v1.0 | SpaceX COTS Demo Flight 2,05/22/2012 7:44 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpX CRS-2,Falcon 9 v1.0 | SpX CRS-2,03/01/2013 3:10 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,CASSIOPE,Falcon 9 v1.1 | CASSIOPE,09/29/2013 4 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,SES-8,Falcon 9 v1.1 | SES-8,12/03/2013 9:41 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Thaicom-6,Falcon 9 v1.1 | Thaicom-6,01/06/2014 10:06 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpX CRS-3,Falcon 9 v1.1 | SpX CRS-3,04/18/2014 7:25 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Orbcomm OG2 Mission 1,Falcon 9 v1.1 | Orbcomm OG2 Mission 1,07/14/2014 3:15 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,AsiaSat 8,Falcon 9 v1.1 | Asiasat 8,08/05/2014 8 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,AsiaSat 6,Falcon 9 v1.1 | AsiaSat 6,09/07/2014 5 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpX CRS-4,Falcon 9 v1.1 | SpX CRS-4,09/21/2014 5:52 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpX CRS-5,Falcon 9 v1.1 | SpX CRS-5,01/10/2015 9:47 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,DSCOVR,Falcon 9 | DSCOVR,02/11/2015 11:03 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Eutelsat 115 West B & ABS-3A,Falcon 9 v1.1 | Eutelsat 115 West B & ABS-3A,03/02/2015 3:50 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpX CRS-6,Falcon 9 v1.1 | SpX CRS-6,04/14/2015 8:10 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,TurkmenÃ„lem52E/MonacoSAT,Falcon 9 v1.1 | TürkmenÄlem 52E/MonacoSAT,04/27/2015 11:03 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpX CRS-7,Falcon 9 v1.1 | SpX CRS-7,06/28/2015 2:21 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Failure
SpaceX,Orbcomm OG2 Mission 2,Falcon 9 Full Thrust | Orbcomm OG2 Mission 2,12/22/2015 1:29 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Jason 3,Falcon 9 v1.1 | Jason-3,01/17/2016 6:42 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,SES-9,Falcon 9 Full Thrust | SES-9,03/04/2016 11:35 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,SpX CRS-8,Falcon 9 Full Thrust | SpX CRS-8,04/08/2016 8:43 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,JCSAT-14,Falcon 9 Full Thrust | JCSAT-14,05/06/2016 5:21 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Thaicom 8,Falcon 9 Full Thrust | Thaicom 8,05/27/2016 9:39 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Eutelsat 117 West B & ABS-2A,Falcon 9 Full Thrust | Eutelsat 117 West B & ABS-2A,06/15/2016 2:29 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
